Model,RMSE,MAE
SARIMAX[7],2.649733512519741,1.3453326151578469
Moving average window 28,2.8012083632237994,1.3468116894388373
Seasonal naive period 7,3.723713050456294,1.6040183995834056
Naive last value,4.291501473663399,1.757377191459816
