horizon,day,bias,RMSE,MAE
1886,d_1886,0.020319933340957528,2.633265185169112,0.9677618893333759
1887,d_1887,-0.34038676736649026,2.6393935708409946,0.8640405831943281
1888,d_1888,-0.3300644052816982,2.493964097950175,0.9041145749324059
1889,d_1889,-0.17131959265161248,2.0060053798360826,0.8330991576839175
1890,d_1890,-0.11305526272108682,2.1909267399695773,0.9551382101903456
1891,d_1891,-0.01602672733109156,1.9499598368716309,0.8447305419358176
1892,d_1892,-0.062014909985999206,2.205240856290678,1.0563683415044078
1893,d_1893,-0.03156143369884831,2.5066295032288135,0.9890876520552642
1894,d_1894,-0.1456585245367816,2.1383142788221727,0.9387515700250154
1895,d_1895,-0.01941182627872879,2.2544319209469865,0.9419406260563853
1896,d_1896,-0.08085973623700377,1.9567800980152856,0.891737097636031
1897,d_1897,0.0747581146246849,1.8722244023029206,0.9136967811311977
1898,d_1898,-0.009841630911488243,2.0424360216992135,1.0314953725195706
1899,d_1899,0.13424125782990784,2.7910010012953888,1.133527030305597
1900,d_1900,-0.01957197009152586,2.738635831289078,1.0705554108640218
1901,d_1901,0.007914154718627208,2.029722347183855,1.0146696834351419
1902,d_1902,-0.12722570786669496,1.6520034005633422,0.8153255982575792
1903,d_1903,-0.014341074102539831,2.024661280447092,0.9349176326091431
1904,d_1904,-0.13586950108757195,1.9912708272129012,0.9378320847597976
1905,d_1905,0.042790825631710716,2.4282780665497787,1.0683178397718829
1906,d_1906,0.12360663741651992,2.6301282002251964,1.1960381276655565
1907,d_1907,-0.0710836090409812,2.70801621923493,1.0930694938829393
1908,d_1908,0.1934415146052422,2.448383641022735,1.090397700747735
1909,d_1909,0.013360541839869006,1.985589792995734,0.9063237356751818
1910,d_1910,-0.18963933608871575,2.227112163766546,0.9552657282867004
1911,d_1911,0.024197614667075738,2.1349031745087315,0.9577881648261357
1912,d_1912,0.1995064932749917,3.9865147009935216,1.2990578392538648
1913,d_1913,-0.11066804774703327,3.2357001501356613,1.1800986681443968
