horizon,day,bias,RMSE,MAE
1886,d_1886,-0.09243307650916964,2.781316239687326,1.0342043147764186
1887,d_1887,-0.4768140482285133,2.616126739113147,0.9328535633981386
1888,d_1888,-0.3433189142814857,2.2794384521935283,0.9048681370554947
1889,d_1889,-0.23467524416327246,2.0869688678643934,0.8916433090037169
1890,d_1890,-0.02092587009703862,2.2570362033267126,0.9525765192754947
1891,d_1891,-0.17733676370985904,1.9984683605524407,0.91583966275703
1892,d_1892,0.031207939180127195,2.3496990889240283,1.076511366041023
1893,d_1893,-0.18261267606250914,2.539220022980038,1.0394920382587485
1894,d_1894,-0.07615856429353533,2.0848127063866286,0.9073464813228281
1895,d_1895,0.0784813549276396,2.3673934552643803,0.9463142530148844
1896,d_1896,0.0012954658342089313,2.0461807545942103,0.887180639464362
1897,d_1897,-0.0165593877979582,1.8566680234039754,0.9204035018094128
1898,d_1898,0.08434398882583606,2.180319946780732,1.0473242847609339
1899,d_1899,0.0784989902677176,2.8069029233331912,1.1455273841401563
1900,d_1900,0.08182178243068676,2.479911432782546,1.0110028052360316
1901,d_1901,0.12444496102595401,2.106371115944866,0.9969854985286488
1902,d_1902,-0.05736778224594517,1.6749416570031905,0.7854868240485746
1903,d_1903,-0.01262779989496223,2.0728383226750005,0.9394834062352033
1904,d_1904,-0.08010960099745774,1.9959170908656387,0.9084793129142855
1905,d_1905,0.007278503583762849,2.5022052145672746,1.0934304472708838
1906,d_1906,0.05039465424444793,2.6445369970906945,1.198890956882525
1907,d_1907,-0.21845495954488955,2.5922737511478724,1.1296838735054244
1908,d_1908,0.18764336877927784,2.364408300018871,1.0581501245729914
1909,d_1909,-0.026520355020860583,2.0066265836165784,0.9037484470427876
1910,d_1910,-0.20218222120578377,2.2575033451603006,0.9585348344008353
1911,d_1911,-0.008456168905059725,2.2236159489630762,0.981674144046617
1912,d_1912,0.07730347508891378,3.9369009949239326,1.3301033994466145
1913,d_1913,-0.3205439189694328,3.4355818203609534,1.3116518536282604
