model,params,RMSE_val
xgb,"{'n_estimators': 700, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1.0}",2.8132689277521665
xgb,"{'n_estimators': 900, 'learning_rate': 0.04, 'max_depth': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'min_child_weight': 1.0}",2.8383066226890947
