horizon,day,bias,RMSE,MAE
1886,d_1886,0.06877065481490083,2.822059793045105,1.2738386777783157
1887,d_1887,-0.36877003035017936,2.5645035249224715,1.1564429464083175
1888,d_1888,-0.24196592171071651,2.2693980591632203,1.1523337601362833
1889,d_1889,-0.1478667119225431,2.2653639322144357,1.2070603060217953
1890,d_1890,-0.008460329484601204,2.4112868564148258,1.290867895700662
1891,d_1891,-0.03650349424637815,2.225931563985256,1.2385553377260614
1892,d_1892,0.07031334893830295,2.440117440683103,1.3840259858132553
1893,d_1893,-0.015816716017682815,2.843470580475212,1.3060882744218263
1894,d_1894,-0.07140834366764999,2.3274548715780043,1.2663149511010536
1895,d_1895,0.09077188711036227,2.4840506593862792,1.271797649262516
1896,d_1896,0.010278936407866824,2.126251413484008,1.209665028158745
1897,d_1897,0.1588841350956618,1.9985985660663133,1.1582562494881694
1898,d_1898,0.1046422696166057,2.4839180191322185,1.394566874221016
1899,d_1899,0.2819527724397727,2.9682095382274327,1.4284263580931373
1900,d_1900,0.12323422515257676,2.708959761446526,1.3537996007123243
1901,d_1901,0.15825814088049653,2.245431900235647,1.3369881937481207
1902,d_1902,-0.032376536001842746,1.8571212224381097,1.1263291589951419
1903,d_1903,0.1108827614475545,2.243336503921237,1.2516945623095799
1904,d_1904,-0.06609361339866347,2.1958972231268135,1.2338318658101493
1905,d_1905,0.15601990354630418,2.6061566469312822,1.3526555346005518
1906,d_1906,0.22395280894507016,2.801159575554136,1.5055450817613412
1907,d_1907,-0.07232726967458528,2.8245558801806996,1.4025906005039632
1908,d_1908,0.32508998045507925,2.615089423639276,1.4102810190793147
1909,d_1909,0.11855417356209173,2.156723158743169,1.20540184358849
1910,d_1910,-0.0870778544378418,2.30035187872762,1.2351443371473718
1911,d_1911,0.1337493965486542,2.3247281562186726,1.2794860063585882
1912,d_1912,0.22491107574038915,4.061423352502128,1.5986557190181494
1913,d_1913,-0.1265707714091248,3.48463245604068,1.5600600054415628
