horizon,day,bias,RMSE,MAE
1886,d_1886,-0.08663055349810692,2.781056948297639,1.0313770942463287
1887,d_1887,-0.40335716815990025,2.5988496827836185,0.8842075971483817
1888,d_1888,-0.29331594966658486,2.2692751183129554,0.874301142467081
1889,d_1889,-0.1769708366866821,2.0789616374351185,0.8600233984345372
1890,d_1890,-0.11856875364237861,2.2614874903279714,0.9907274073626282
1891,d_1891,-0.14816738002823238,1.9953677163602876,0.9021816752583195
1892,d_1892,-0.08821073980234485,2.3515645666326948,1.1147791890958452
1893,d_1893,-0.11888103137480686,2.5342816975792153,1.0054646697196037
1894,d_1894,-0.1496383175505305,2.090560246682317,0.9377659437875236
1895,d_1895,-0.0062540240028498015,2.3654373038905048,0.974743564508146
1896,d_1896,-0.08075962297876864,2.0485316861542353,0.9131353251174944
1897,d_1897,-0.01274510398853913,1.8566242472688106,0.9188598764988889
1898,d_1898,-0.06277343195406788,2.179121736500362,1.0902792687167888
1899,d_1899,0.006318341903035208,2.805481936409243,1.1709942333277523
1900,d_1900,-0.039230251433597194,2.478352157494526,1.0506174328495261
1901,d_1901,-0.010112934727319719,2.101017842362385,1.0278591411225684
1902,d_1902,-0.14902586431885556,1.68334184935974,0.8127478275280895
1903,d_1903,-0.0423725423075736,2.073401702930026,0.9489152499536928
1904,d_1904,-0.16850398218983356,2.004276207455752,0.9384988083357553
1905,d_1905,-0.034152785459171914,2.502501056979412,1.1099569855139908
1906,d_1906,0.00862203215896178,2.6439419309105365,1.2132385595149504
1907,d_1907,-0.16176007829591996,2.5867962423630186,1.1021598936333874
1908,d_1908,0.1415831605241524,2.3599591850763777,1.0705435858950982
1909,d_1909,-0.045077080953225275,2.0070956497074417,0.9102189228090016
1910,d_1910,-0.20955766365974043,2.258473879080805,0.9617452985797386
1911,d_1911,-0.021438867618954426,2.2237433793329493,0.986214026183552
1912,d_1912,0.10568310886129173,3.9377665588387307,1.3159289309593285
1913,d_1913,-0.23240947240052331,3.4267436560001068,1.266574415688698
