Model,RMSE,MAE
SARIMAX + hgb residual boost (per-group),2.3995640064689745,0.9923266834529906
SARIMAX + Tree residual boost,2.4185273921900388,1.013716409437739
SARIMAX + hgb_centered residual boost,2.420247170487632,1.0074782636727975
SARIMAX + xgb_centered residual boost,2.502588253949459,1.020702794997451
SARIMAX + xgb residual boost,2.504964403577105,1.0337449932875737
SARIMAX + mlp_centered residual boost,2.619977186525078,1.3754227999280502
SARIMAX[7],2.649733512519741,1.3453326151578469
SARIMAX + mlp residual boost,2.651194036889468,1.2824568897837316
