Model,RMSE,MAE
SARIMAX + hgb residual boost (per-group),2.3858034043968877,0.9942670474280351
SARIMAX + hgb residual boost,2.4131987506857806,1.01408386772342
SARIMAX + hgb residual boost (per-group pruned),2.4139654049471337,1.002075238516501
SARIMAX[7],2.649733512519741,1.3453326151578469
