group,Moving average window 28,Naive last value,SARIMAX[7],Seasonal naive period 7
G1 low intermittency,4.754558234406118,7.704268680062427,4.4088761817474715,6.58535128865628
G2 medium intermittency,2.3928092714693086,3.168986545909487,2.322686914040995,2.802843068191626
G3 high intermittency,1.3994772543224323,1.6343439476966966,1.449506893587654,1.6573140606023902
G4 very high intermittency,1.0337275890453332,1.2337712108945391,1.0612884850111368,1.2002946933572294
